Student Code	Last Name	First Name	Activity Group	Activity Code	Course
99300001	Chen	Emily	LC01	02	SBIT
99300002	Wang	Daniel	LC01	02	SBIT
99300003	Li	Grace	LC01	02	SBIT
99300004	Zhang	Kevin	LC01	02	SBCS
99300005	Liu	Sophia	LC01	03	SBIT
99300006	Zhao	Henry	LC01	02	SBCY
99300007	Huang	Olivia	LC01	03	SBIT
99300008	Wu	Lucas	LC01	02	SBIT
99300009	Xu	Chloe	LC01	02	SBIT
99300010	Lin	Ethan	LC01	02	SBCS
99300011	Yang	Mia	LC01	02	SBIT
99300012	Zhou	Noah	LC01	02	SBIT
99300013	Sun	Ava	LC01	02	SBCY
99300014	Ma	Leo	LC01	02	SBIT
99300015	He	Isabella	LC01	02	SBCS
99300016	Guo	Oscar	LC01	02	SBCS
99300017	Luo	Ruby	LC01	02	SBCS
99300018	Tang	Mason	LC01	02	LZCCS
99300019	Deng	Ella	LC01	03	SBCS
99300020	Cao	Aaron	LC01	03	SBIT
99300021	Feng	Lily	LC01	03	AUGEI
99300022	Han	Nathan	LC01	02	SBIT
99300023	Jiang	Zoe	LC01	02	SBCS
99300024	Xie	Ryan	LC01	03	SBIT
99300025	Ye	Hannah	LC01	02	SBIT
99300026	Yu	Caleb	LC01	02	SBCS
99300027	Shen	Amy	LC01	03	SBIT
99300028	Qian	Justin	LC01	02	SBIT
99300029	Bai	Nina	LC01	03	SBIT
99300030	Gao	Samuel	LC01	03	SBCS
99300031	Parker	James	LC01	02	SBIT
99300032	Wilson	Charlotte	LC01	02	SBIT
99300033	Taylor	Oliver	LC01	02	SBIT
99300034	Brown	Amelia	LC01	02	SBIT
99300035	Martin	William	LC01	02	SBCS
99300036	Anderson	Harper	LC01	02	SBIT
99300037	Thompson	Jack	LC01	02	SBCS
99300038	Walker	Evelyn	LC01	02	SBCS
99300039	Hall	Thomas	LC01	02	SBIT
99300040	Young	Sophie	LC01	02	SBIT
99300041	King	Benjamin	LC01	03	SBCS
99300042	Wright	Georgia	LC01	02	SBCS
99300043	Scott	Lachlan	LC01	02	SBCS
99300044	Green	Matilda	LC01	02	SBCS
99300045	Baker	Samuel	LC01	02	SBIT
12345678	Test	Student	LC01	02	SBIT
