Student Code	Last Name	First Name	Activity Group	Activity Code	Course
99500001	Adams	Isla	LC01	01	SMIT
99500002	Nelson	Max	LC01	01	SMDS
99500003	Carter	Lucy	LC01	01	SMIT
99500004	Mitchell	Harry	LC01	01	TM010
99500005	Roberts	Evie	LC01	01	SMIT
99500006	Phillips	Charlie	LC01	01	TM010
99500007	Campbell	Alice	LC01	01	SMIT
99500008	Evans	Cooper	LC01	01	SMIT
99500009	Turner	Molly	LC01	01	SMIT
99500010	Collins	Finn	LC01	01	SMINCT
99500011	Morris	Freya	LC01	01	TM010
99500012	Rogers	Archie	LC01	01	SMDS
99500013	Reed	Lara	LC01	01	SMIT
99500014	Cook	Harrison	LC01	01	SMIT
99500015	Morgan	Stella	LC01	01	SMIT
99500016	Bell	Joshua	LC01	01	SMIT
99500017	Murphy	Scarlett	LC01	01	SMDS
99500018	Bailey	Patrick	LC01	01	SMIT
99500019	Cooper	Layla	LC01	01	SMDS
99500020	Richardson	Edward	LC01	01	SMDS
99500021	Cox	Violet	LC01	01	SMIT
99500022	Howard	Sebastian	LC01	01	SMIT
99500023	Ward	Emma	LC01	01	SMIT
99500024	Peterson	George	LC01	01	SMIT
99500025	Gray	Maya	LC01	01	SMDS
99500026	Watson	Alexander	LC01	01	SMDS
99500027	Brooks	Poppy	LC01	01	TM010
99500028	Kelly	Michael	LC01	01	SMIT
99500029	Price	Abigail	LC01	01	SMDS
99500030	Bennett	Oscar	LC01	01	SMIT
99500031	Wood	Sienna	LC01	01	SMDS
99500032	Barnes	Louis	LC01	01	SMDS
99500033	Ross	Phoebe	LC01	01	SMDS
99500034	Hughes	Isaac	LC01	01	SMDS
99500035	Foster	Claire	LC01	01	SMDS
99500036	Powell	Eli	LC01	01	TM010
